Timestamp,SpellName,Caster,ManaCost,Outcome
2025-07-02T10:00:00,Fireball,Merlin,50,Success
2025-07-02T10:01:00,IceBlast,Gandalf,40,Failed
2025-07-02T10:02:00,Heal,Elrond,30,Success
2025-07-02T10:03:00,Fireball,Merlin,60,SyntaxError
2025-07-02T10:04:00,LightningBolt,Gandalf,70,Success
2025-07-02T10:05:00,Shield,Elrond,20,Success
2025-07-02T10:06:00,IceBlast,Gandalf,45,Failed
2025-07-02T10:07:00,Fireball,Merlin,55,Success
2025-07-02T10:08:00,Heal,Elrond,35,SyntaxError
2025-07-02T10:09:00,LightningBolt,Gandalf,65,Success
2025-07-02T10:10:00,Teleport,Merlin,80,Failed
2025-07-02T10:11:00,Fireball,Elrond,50,Success
2025-07-02T10:12:00,IceBlast,Gandalf,50,SyntaxError
2025-07-02T10:13:00,Shield,Merlin,25,Success
2025-07-02T10:14:00,Heal,Elrond,40,Success
2025-07-02T10:15:00,LightningBolt,Gandalf,75,Failed
2025-07-02T10:16:00,Fireball,Merlin,60,Success
2025-07-02T10:17:00,IceBlast,Elrond,45,Failed
2025-07-02T10:18:00,Teleport,Gandalf,90,SyntaxError
2025-07-02T10:19:00,Shield,Merlin,30,Success
2025-07-02T10:20:00,Heal,Elrond,35,Success
2025-07-02T10:21:00,Fireball,Gandalf,55,Success
2025-07-02T10:22:00,IceBlast,Merlin,50,Failed
2025-07-02T10:23:00,LightningBolt,Elrond,70,Success
2025-07-02T10:24:00,Teleport,Gandalf,85,SyntaxError
2025-07-02T10:25:00,Shield,Merlin,20,Success
2025-07-02T10:26:00,Fireball,Elrond,60,Failed
2025-07-02T10:27:00,IceBlast,Gandalf,40,Success
2025-07-02T10:28:00,Heal,Merlin,30,Success
2025-07-02T10:29:00,LightningBolt,Elrond,65,Success
2025-07-02T10:30:00,Teleport,Gandalf,95,Failed
2025-07-02T10:31:00,Shield,Elrond,25,Success
2025-07-02T10:32:00,Fireball,Merlin,70,SyntaxError
2025-07-02T10:33:00,IceBlast,Gandalf,55,Success
2025-07-02T10:34:00,Heal,Elrond,40,Failed
2025-07-02T10:35:00,LightningBolt,Merlin,80,Success
2025-07-02T10:36:00,Teleport,Gandalf,100,SyntaxError
2025-07-02T10:37:00,Shield,Elrond,30,Success
2025-07-02T10:38:00,Fireball,Merlin,65,Success
2025-07-02T10:39:00,IceBlast,Gandalf,50,Failed
2025-07-02T10:40:00,Heal,Elrond,35,Success
2025-07-02T10:41:00,LightningBolt,Merlin,75,Success
2025-07-02T10:42:00,Teleport,Gandalf,90,Failed
2025-07-02T10:43:00,Shield,Elrond,20,Success
2025-07-02T10:44:00,Fireball,Merlin,60,SyntaxError
2025-07-02T10:45:00,IceBlast,Gandalf,45,Success
2025-07-02T10:46:00,Heal,Elrond,30,Success
2025-07-02T10:47:00,LightningBolt,Merlin,70,Failed
2025-07-02T10:48:00,Teleport,Gandalf,85,Success
2025-07-02T10:49:00,Shield,Elrond,25,Success
